word,ipa,phones,confidence,commentary,g2p_output,matched
Adana'sı,/ˈa.da.na.sɯ/,a d a n a s ɯ,0.95,"DOĞRU KURALLAR: Kelime, yer adı olan 'Adana' özel ismi ve iyelik ekinin birleşiminden oluşmuştur. Türkçe yer adlarında (toponim) vurgu genellikle başa veya sondan önceki hecelere kayar. Tüm heceleri açık olan 'Adana' isminde vurgu ilk hecededir. Özel isimlere eklenen telaffuzu etkilemeyen çekim ekleri bu vurguyu kaydırmaz, dolayısıyla vurgu ilk hecede kalır. Kelimede aspirasyon veya daralma gerektirecek bir fonetik bağlam bulunmamaktadır. HATA ANALİZİ: Referans çıktılar, kelimenin özel isim/yer adı olduğunu ve yer adlarına özgü bağlamsal vurgu kuralını (Sezer vurgusu) hesaba katmayarak, Türkçenin cins isimlerdeki standart 'vurgu daima son hecededir' kuralını ezbere işletmiş ve vurguyu en sona eklemiştir. SİSTEM İYİLEŞTİRMESİ VE KURAL ÖNERİSİ: Sistemin algoritmasına şu kural eklenmelidir: 'Yer Adı Vurgu İstisnası: Sözcük bir yer adı (toponim) ise standart kelime sonu vurgu kuralını sonlandır/kapat. Adana, Ankara gibi kökten başa çekilmiş vurguya sahip isimlere ek (iyelik, hal eki vb.) geldiğinde vurguyu eklere taşıma, kökün kendi vurgulu hecesinde sabit tut.'",/a.da.na.ˈsɯ/,false
Afyonkarahisar,/af.joŋ.kʰa.ɾa.hi.ˈsaɾ/,a f j o ŋ kʰ a ɾ a h i s a ɾ,0.95,"DOĞRU KURALLAR: Kelime 'Afyon', 'kara' ve 'hisar' sözcüklerinden oluşan bir bileşik isimdir. Türkçede '-hisar' ile biten yer adlarında (örn. Akhisar, Karahisar) birincil vurgu son heceye düşer. Fonetik olarak, 'yon' hecesindeki 'n' ünsüzü, kendisinden hemen sonra gelen art damak (velar) 'k' ünsüzünün etkisiyle gerileyici benzeşmeye uğrayarak [ŋ] sesine dönüşür. Hece başındaki ötümsüz patlayıcı 'k' ünsüzü ise soluklu (aspire) olarak [kʰ] telaffuz edilir. Titreşimli R sesleri tek vuruşlu [ɾ] varyantı ile gösterilir. HATA ANALİZİ: Referans 1 ünsüz benzeşmesini ([ŋ]) ve soluklaşmayı ([kʰ]) doğru analiz etmiş; ancak izin verilen sembol havuzunun dışına çıkarak kelime sonu R sesi için standart dışı diyakritik içeren [ɾ̞̊] sembolünü kullanmıştır. Referans 2 ise dar çeviri kurallarını hiç işletmeden doğrudan harf-ses eşleşmesi yapmış, fonemik düzeyde kalmış ve yer adları vurgu kuralını hatalı işletip vurguyu sondan bir önceki heceye almıştır. SİSTEM İYİLEŞTİRMESİ VE KURAL ÖNERİSİ: Sistemin algoritmasına şu katı kurallar eklenmelidir: 1) 'Art Damak Benzeşmesi: Eğer /n/ ünsüzü kendisinden hemen sonraki hecenin başında /k/ veya /g/ ile karşılaşıyorsa, /n/ sesini daima [ŋ] varyantı olarak transkribe et.' 2) 'Hece Başında Aspirasyon: Hece başında yer alan [p, t, k, c] patlayıcılarını [pʰ, tʰ, kʰ, cʰ] olarak güncelle.' 3) 'Vurgu İstisnası: Bileşik yer adları -hisar kelimesi ile bitiyorsa, genel yer adı vurgu kurallarını (Sezer) ez ve vurguyu her zaman sözcüğün son hecesine daya.'",/af.joŋ.kʰa.ɾa.hi.ˈsaɾ̞̊/,false
Akdeniz,/ˈak.de.niz/,a k d e n i z,0.95,"DOĞRU KURALLAR: 'Akdeniz' kelimesi sıfat tamlaması kuruluşunda birleşik bir özel isimdir (Ak + deniz). Türkçe kuralı gereği, bu tür birleşik yer isimlerinde birincil vurgu ilk sözcüğün üzerine çekilir [ˈak]. İlk hecenin sonundaki 'k' patlayıcısı, kendisinden önce gelen kalın 'a' ünlüsünün etkisiyle art damaksıl (velar) [k] olarak telaffuz edilir ve hece kapattığı için aspirasyon (soluklanma) almaz. HATA ANALİZİ: Referans 1, kalın bir ünlüden (a) sonra gelmesine rağmen 'k' sesini istisna sanıp ezbere ince/damaksıl [c] olarak haritalamıştır. Ayrıca her iki referans da birleşik yer isimlerine ait vurgu kuralını atlayarak varsayılan kelime sonu vurgusunu işletmiş ve odak noktasını hatalı biçimde [ˈniz] hecesine kaydırmıştır. SİSTEM İYİLEŞTİRMESİ VE KURAL ÖNERİSİ: Sisteme şu iki net kural tanımlanmalıdır: 1) 'Ünsüz Uyumu: [k] ünsüzü, eğer [a, ɯ, o, u] gibi kalın ünlülerden hemen sonra geliyorsa (istisnai alıntı kelimeler hariç) damaksıllaştırma işlemi uygulama ve standart [k] sembolünü koru.' 2) 'Birleşik İsim Vurgusu: Sıfat tamlaması vasfındaki birleşik yer adlarında (örn. Akdeniz, Karadeniz), kelime sonu vurgu formülünü iptal et ve birincil vurguyu (ˈ) ilk cüzün başına ata.'",/ac.de.ˈniz/,false
Alanya,/a.ˈɫan.ja/,a ɫ a n j a,0.95,"DOĞRU KURALLAR: Kelime fonolojik olarak V.CVC.CV (a.lan.ya) kurgusuyla hecelenir. 'l' ünsüzü kalın/art ünlü olan 'a' seslerinin arasında yer aldığı için velarize (kalın) l [ɫ] varyantıyla telaffuz edilir. Kelime bir yer ismidir (toponim). Türkçede yer isimleri varsayılan kelime sonu vurgusunu reddeder (Sezer Kuralı); sondan bir önceki hece (lan) kapalı (ağır hece) olduğu için birincil vurguyu kendi üzerine çeker. HATA ANALİZİ: Referans 1, heceleme ve kalın 'ɫ' benzeşmesini kusursuz okumasına rağmen yer adı vurgu kuralını bilmediğinden varsayılan kelime sonu vurgusu kuralını işletmiştir. Referans 2 ise çok daha kritik bir hataya düşerek Türkçe fonotaktik kurallarını hiçe saymış; ortadaki iki ünsüzü tek bir hece başına toplayarak '.nja' şeklinde Türkçeye aykırı bir kompleks hece başı (complex onset) üretmiştir. Üstelik L-velarizasyonunu da atlamıştır. SİSTEM İYİLEŞTİRMESİ VE KURAL ÖNERİSİ: Algoritmaya şu kurallar entegre edilmelidir: 1) 'Yer Adı Vurgusu (Sezer Rules): Sisteme kelimenin yer adı (toponim) olduğu bilgisi (tag) geçildiğinde varsayılan kelime sonu vurgu fonksiyonunu devre dışı bırak. Eğer sondan bir önceki hece kapalıysa (CVC formu), birincil vurguyu daima bu heceye sabitle.' 2) 'Heceleme Sınırı (Phonotactics): Türkçe kelime içinde iki ünsüz yan yana geldiğinde (VCCV yapısı), hece sınırı daima bu iki ünsüzün tam arasından geçer (VC.CV). Ortadaki ünsüzleri asla sağdaki ünlüyle birleştirerek kompleks hece başı (.nja vb.) oluşturma.'",/a.ɫan.ˈja/,false
Alevîlik,/a.le.viː.ˈlicʰ/,a l e v iː l i cʰ,0.95,"DOĞRU KURALLAR: Kelimedeki şapkalı 'î' harfi Arapça/Farsça alıntılardan gelen uzun i [iː] sesini temsil eder. '-lik' yapım ekindeki 'i' ince ünlüsü, kelime sonundaki 'k' patlayıcısını ön damaksıllaştırarak (palatalizasyon) [c] sesine dönüştürür. Türkçede kelime veya tümce sonunda bulunan ötümsüz patlayıcılar izole okunuşta daima solukludur (aspire edilir), bu sebeple [cʰ] olmalıdır. İsimden isim yapan '-lik' eki normal şartlarda vurguludur; birincil vurgu son hecede bulunur. HATA ANALİZİ: Referans 1, ön damaksıllaşmayı ([c]) doğru okumuş ancak kelime tonu patlayıcı aspirasyonunu ([cʰ]) işletmemiştir. Referans 2 ise kelimeyi yüzeysel grafemden foneme (G2P) bağlamış, ince/kalın k ayrımını ([c]/[k]) ve aspirasyonu atlayarak standart bir yazım eşleştirmesi yapmıştır. SİSTEM İYİLEŞTİRMESİ VE KURAL ÖNERİSİ: Sisteme dar çeviri için şu iki kesin kural öğretilmelidir: 1) 'Damaksıllaşma (Palatalization): Ön/ince ünlülerle (e, i, œ, y) komşu olan veya bu ünlülerin bulunduğu hecelerdeki velar /k, ɡ/ ünsüzlerini daima ince karşılıkları olan [c, ɟ] olarak transkribe et.' 2) 'Kelime Sonu Solukluluk (Final Aspiration): İzolasyonda (tekil okunuşta) bulunan kelimelerin sonunda yer alan [p, t, k, c] ötümsüz patlayıcılarını, sonuna kesinlikle (ʰ) ekleyerek [pʰ, tʰ, kʰ, cʰ] şeklinde çıktı ver.'",/a.le.viː.ˈlic/,false
Almanya,/aɫ.ˈman.ja/,a ɫ m a n j a,0.95,"DOĞRU KURALLAR: Heceleme: Türkçede kelime içindeki iki ünsüz paylaştırılarak ardışık heceleri oluşturur, kelime 'Al-man-ya' biçiminde hecelenir. Vurgu: Yer, bölge ve ülke adlarında (toponim) genel kelime sonu vurgu kuralı işlemez (Sezer Vurgu Kuralı). Sondan bir önceki hece kapalı (ağır) ise vurguyu çeker; bu yüzden vurgu 'man' hecesindedir. Karanlık L: Kalın 'a' ünlüsünün ardından hece sonunda gelen 'l' sesi artdamaksıllaşarak [ɫ] varyantına dönüşür. HATA ANALİZİ: Referans 1 karanlık L [ɫ] ve hecelemeyi doğru yapsa da yer adlarının spesifik vurgu istisnasını bilmediğinden vurguyu ezbere son heceye atmıştır. Referans 2 ise Türkçenin fonotaktik kurallarını (VCCV yapısındaki hece sınırlarını) ihlal etmiş ve Türkçede hece başlatamayan /nj/ kümesini [aɫ.ma.ˈnja] şeklinde tek heceye sıkıştırarak yanlış bir sınır oluşturmuştur. SİSTEM İYİLEŞTİRMESİ VE KURAL ÖNERİSİ: Algoritmaya şu iki katı kural eklenmelidir: 1) 'Hece Sınırı Modülü: Sözcük içindeki VCCV (Ünlü-Ünsüz-Ünsüz-Ünlü) dizilimlerinde hece sınırını daima iki ünsüz arasından böl (VC.CV) ve .nja gibi imkansız hece başlangıçlarını reddet.' 2) 'Yer Adları Vurgu Kuralı: Kelime bir özel isim (ülke adı) ise ve sondan bir önceki hecesi ünsüzle bitiyorsa (kapalı hece), varsayılan son hece vurgusunu ezerek birincil vurguyu (ˈ) kesinlikle sondan bir önceki heceye sabitle.'",/aɫ.man.ˈja/,false
Amasya,/a.ˈmas.ja/,a m a s j a,0.95,"DOĞRU KURALLAR: Yer isimleri (toponimler) vurgusunda Sezer Kuralı geçerlidir; sondan bir önceki hece kapalı (ağır) ise vurgu bu heceye düşer. 'Amasya' kelimesinde 'mas' hecesi kapalıdır ve vurguyu alır: [a.ˈmas.ja]. Kelimede herhangi bir aspirasyon, daralma veya sızıcı benzeşmesi (s -> ʃ) standart dilde gerçekleşmez. HATA ANALİZİ: Referans 1, yer ismi vurgu istisnalarını atlayarak standart kelime sonu vurgusu kuralını işletmiştir. Referans 2 ise vurguyu sondan bir önceki kısıma atamasına rağmen hem hecelemeyi (a.ma.ʃja) Türkçe fonotaktik kurallara aykırı yapmış hem de 's' sesini 'j' etkisinden dolayı standart dışı bir şekilde [ʃ] (ş) olarak transkribe etmiştir. SİSTEM İYİLEŞTİRMESİ VE KURAL ÖNERİSİ: Sistemin algoritmasına şu kurallar eklenmelidir: 1) 'Toponim Vurgu Modülü: Şehir ve bölge isimlerinde varsayılan kelime sonu vurgusunu devreden çıkar; sondan bir önceki hece ünsüzle bitiyorsa (kapalı hece) birincil vurguyu (ˈ) o hecenin başına sabitle.' 2) 'Hece Sınırı ve Fonem Koruması: VCCV dizilerinde hece ayrımını VC.CV (a.mas.ja) şeklinde yapıp s+j yan yana gelişlerinde [ʃ] gibi diyalektik benzeşmeler (asimilasyon) üretmekten kaçın.'",/a.mas.ˈja/,false
Anadolu,/a.na.ˈdo.ɫu/,a n a d o ɫ u,0.95,"DOĞRU KURALLAR: Kelime bir yer adı (toponim) olduğu için coğrafi terimlerde ve özel isimlerde görülen 'Sezer Vurgu Kuralı' geçerlidir; standart kelime sonu vurgusunun aksine vurgu sondan bir önceki hecededir [ˈdo]. Kelimedeki tüm ünlüler (a, o, u) kalındır (art ünlüdür). Bu kalın ünlü ortamında 'l' sesi artdamaksıllaşarak (velarizasyon) kalın 'l' [ɫ] varyantına dönüşür. Tüm durdurucular (d) ötümlü olduğu için aspirasyon (ʰ) almaz. HATA ANALİZİ: Referans 1, yer adı istisnasını bilmediği için düz bir okumayla standart kelime sonu vurgusu kuralını ezbere işleterek son heceyi (do.ˈɫu) vurgulamıştır. Referans 2 ise vurguyu ve sesbirimsel varyantı (ɫ) kesinlikle doğru bulmuş ancak dar çeviri (narrow transcription) işaretlemesi olan köşeli ayraç [...] yerine, geniş çeviriyi kodlayan eğik çizgi /.../ sembollerini kullanarak format hatası yapmıştır. SİSTEM İYİLEŞTİRMESİ VE KURAL ÖNERİSİ: Sistemin algoritmasına şu iki hardcoded kural eklenmelidir: 1) 'Yer Adı/Toponim Vurgusu (Location Names Rule): Eğer işlenen kelime bir il, ilçe, kıta veya bölge adıysa (Anadolu, Ankara, İzmir vb.), hece yapısını analiz et ve varsayılan kelime sonu vurgusu yerine Sezer Kuralı'nı aktive ederek vurguyu (ˈ) sondan bir veya iki önceki heceye kaydır.' 2) 'Transcription Envelope Rule: Eğer prompt dar (narrow) çeviri istiyorsa, fonetik metni istisnasız [...] braketleri içine al.'",/a.na.do.ˈɫu/,false
Anadolu Yakası,/a.na.do.ˈɫuja.kʰa.ˈsɯ/,a n a d o ɫ u j a kʰ a s ɯ,0.95,"DOĞRU KURALLAR: Kelime grubunda şu fonetik özellikler öne çıkar: 1) Kalın 'l' Kullanımı: 'Anadolu' ismindeki 'l' sesi; a, o, u gibi art/kalın ünlülerin komşuluğunda bulunmasından dolayı velarize (kalın) l [ɫ] olarak telaffuz edilir. 2) Aspirasyon: 'Yakası' kelimesindeki hece başı ötümsüz-patlayıcı 'k' ünsüzü aspire edilerek (soluklu) [kʰ] varyantıyla okunur. 3) Vurgu: İki kelime de kendi tabanındaki standart vurguyu korur; kelime grubu olarak telaffuz edildiğinde iki sözcük arasındaki boşluk muhafaza edilir. HATA ANALİZİ: Referans 1, velarize [ɫ] ve soluklu [kʰ] sesbirimciklerini (allophone) başarıyla tespit etmiştir; ancak dar (narrow) çeviri standardı olan köşeli parantez [] yerine // kullanmıştır. Referans 2 ise iki kelime arasındaki boşluğu silerek kelime grubunu tek sözcük gibi (.ja.) bağlamış ve alofonik varyasyonları (kʰ, ɫ) tespit edemeyerek geniş çeviride kalmıştır. SİSTEM İYİLEŞTİRMESİ VE KURAL ÖNERİSİ: Sisteme şu kurallar entegre edilmelidir: 1) 'Kelime Sınırı Koruması: Girdi birden fazla kelimeden (phrase) oluşuyorsa, aralara hece sınırı (.) ekleme; kelimeleri kendi içinde hecele ve aradaki boşluğu (space) koru.' 2) 'L Alofonu: Kalın ünlülerin (a, ı, o, u) bulunduğu hecelerde 'l' sesini standartlaştırılmış şekilde kaba/velarize varyantına [ɫ] eşle.' 3) 'Hece Başı Patlayıcılar: Her hecenin başlangıcındaki ötümsüz patlayıcıları (p, t, k, c) aspirasyonla (ʰ) işaretle.'",/a.na.do.ˈɫuja.kʰa.ˈsɯ/,true
Antalya,/an.ˈtʰaɫ.ja/,a n tʰ a ɫ j a,0.95,"DOĞRU KURALLAR: Yer adları vurgu kurallarına (Sezer Kuralı) göre 'Antalya' kelimesinde birincil vurgu ortadaki ağır hecededir [ˈtʰaɫ]. Hece başında yer alan tonsuz patlayıcı 't' sesi aspire edilerek [tʰ] şeklinde okunur. Kelimenin kalın ünlüleri (a), 'l' sesinin artdamaksıl (kalın) varyantı olan [ɫ] ile telaffuz edilmesini sağlar. HATA ANALİZİ: Referans 1, yer adları vurgu istisnasını atlayarak vurguyu kelime sonuna atmıştır. Referans 2 ise vurguyu doğru bilmesine rağmen dar (narrow) çeviri gerekliliğini göz ardı etmiş ve hece başı 't' sesini aspire etmemiştir. SİSTEM İYİLEŞTİRMESİ VE KURAL ÖNERİSİ: Sistemin algoritmasına şu iki kural eklenmelidir: 1) 'Yer Adı Vurgu Kuralı: Özel yer adları kelime sonu vurgu kuralından muaftır. Yer adı matrisini uygula ve hece yapısına göre vurguyu başa doğru çek.' 2) 'Dar Çeviri Sesletim Kuralı: Hece başında (onset) bulunan patlayıcıları dar çeviride daima aspire (ʰ) et.'",/an.tʰaɫ.ˈja/,false
